Longitude,Latitude,Name
-75.050359,39.96408,"Wawa 0990 (24, Gas)"
-74.85201,40.505434,"Wawa 0991 (24, Gas)"
-74.368133,40.255022,"Wawa 0993 (24, Gas, Diesel)"
-74.250203,39.687688,"Wawa 0994 (24, Gas)"
-74.186039,39.962591,"Wawa 0995 (24, Gas)"
-74.09096,40.257992,"Wawa 0996 (24, Gas)"
-74.143187,40.032488,"Wawa 0997 (24, Gas, Diesel)"
-75.047908,39.763777,"Wawa 0998 (24, Gas, Diesel)"
-74.999231,39.484017,"Wawa 0999 (24, Gas)"
-81.415084,28.577154,"Wawa 5100 (24, Gas, Diesel)"
-81.459638,28.406409,"Wawa 5101 (24, Gas, Diesel)"
-81.355886,28.287066,"Wawa 5102 (24, Gas, Diesel)"
-81.288164,28.480079,"Wawa 5103 (24, Gas, Diesel"
