longitude,latitude,type,address,city,state,zip
-80.0361,42.0653,Sheetz,8180 Perry Highway, Erie,PA,16509
-78.3736,40.0108,Sheetz,11 W Main St, Everett,PA,15537
-78.785,41.1414,Sheetz,1867 Rich Hwy, Falls Creek,PA,15840
-75.8381,40.4853,Sheetz,14350 Kutztown Rd, Fleetwood,PA,19522
-79.5271,40.76506,Sheetz,410 Main St, Ford City,PA,16226
-79.8269,41.395,Sheetz,1107 Liberty St, Franklin,PA,16323
-79.8061,41.4028,Sheetz,590 Allegheny Blvd, Franklin,PA,16323
-77.1981,39.7967,Sheetz,1978 Baltimore Pike, Gettysburg,PA,17325
-77.1994,39.8442,Sheetz,30 Camp Letterman Dr, Gettysburg,PA,17325
-79.9467,40.6139,Sheetz,5300 Route 8, Gibsonia,PA,15044
-80.3081,42.0061,Sheetz,809 Main Street East, Girard,PA,16417
-76.649258,40.3725078,Sheetz,9916 Allentown Blvd, Grantville,PA,17028
-77.7069,39.7856,Sheetz,11104 Grindstone Hill Road, Greencastle,PA,17225
-77.7278,39.76,Sheetz,45 Antrim Commons Drive, Greencastle,PA,17225
-79.5386,40.3078,Sheetz,211 Harvey Ave, Greensburg,PA,15601
-79.49032,40.3007271,Sheetz,5064 Route 30 East, Greensburg,PA,15601
-80.3828,41.4069,Sheetz,294 Main St, Greenville,PA,16125
-80.1103,41.1678,Sheetz,1526 W Main Street Ext, Grove City,PA,16127
-80.1575,41.1433,Sheetz,1931 Butler Pike, Grove City,PA,16127
-76.93136,40.44824,Sheetz,13 South River Rd, Halifax,PA,17032
-76.9972,39.8231,Sheetz,1191 Carlisle St, Hanover,PA,17331
-76.9606,39.7633,Sheetz,1841 Baltimore Pike, Hanover,PA,17331
-76.8261,40.3364,Sheetz,2300 Colonial Rd, Harrisburg,PA,17112
-76.8242,40.2531,Sheetz,3695 Paxton St, Harrisburg,PA,17113
-76.8231,40.2789,Sheetz,4001 Union Deposit Rd, Harrisburg,PA,17109
-76.8031,40.2425,Sheetz,4651 Lindle Road, Harrisburg,PA,17111
-76.7831,40.2639,Sheetz,6010 Derry Street, Harrisburg,PA,17111
-76.7819,40.3244,Sheetz,6290 Allentown Blvd, Harrisburg,PA,17112
-76.7169233,40.3522544,Sheetz,7970 Linglestown Road, Harrisburg,PA,17112
-80.0086,41.1367,Sheetz,103 N Main St, Harrisville,PA,16038
-75.9842,40.9914,Sheetz,101 Airport Rd, Hazle Township,PA,18202
-80.4517,41.2558,Sheetz,1650 N Hermitage Rd, Hermitage,PA,16148
-80.4558,41.2011,Sheetz,2381 S Hermitage Rd, Hermitage,PA,16148
-78.3847,40.4294,Sheetz,1100 Blair St, Hollidaysburg,PA,16648
-79.1594,40.5533,Sheetz,2260 Route 119 Hwy S, Homer City,PA,15748
-76.6908,40.2683,Sheetz,658 East Main Street, Hummelstown,PA,17036
-76.7070479,40.2436604,Sheetz,777 Middletown Road, Hummelstown,PA,17036
-78.0164,40.4947,Sheetz,1330 Moore St, Huntingdon,PA,16652
-78.0131,40.4792,Sheetz,9681 William Penn Hwy, Huntingdon,PA,16652
-78.0431,40.4889,Sheetz,9894 Shaner Blvd, Huntingdon,PA,16652
-79.1453,40.6219,Sheetz,380 Philadelphia St, Indiana,PA,15701
-79.1883,40.6106,Sheetz,525 Ben Franklin Rd S, Indiana,PA,15701
-79.1531,40.6183,Sheetz,768 Wayne Ave, Indiana,PA,15701
-79.6717,40.3139,Sheetz,7821 Route 30, Irwin,PA,15642
-78.9339,40.3431,Sheetz,1000 Broad St, Johnstown,PA,15906
-78.8569,40.2711,Sheetz,1455 Scalp Ave, Johnstown,PA,15904
-78.9547,40.3219,Sheetz,1791 Goucher St, Johnstown,PA,15905
-78.9189,40.3211,Sheetz,208 Haynes St, Johnstown,PA,15901
-78.8383,40.2919,Sheetz,405 Galleria Dr, Johnstown,PA,15904
-78.9117,40.2994,Sheetz,490 Central Ave, Johnstown,PA,15902
-78.8447,40.2783,Sheetz,524 Centre Drive, Johnstown,PA,15904
-78.6885,41.68415,Sheetz,3014 Route 219, Kane,PA,16735
-79.5167,40.8097,Sheetz,100 Walnut St, Kittanning,PA,16201
-79.4858,40.8019,Sheetz,13510 St Rte 422, Kittanning,PA,16201
-76.3192,40.0586,Sheetz,1180 Manheim Pike, Lancaster,PA,17601
-76.3011,40.0697,Sheetz,1699 Oregon Pike, Lancaster,PA,17601
-76.3489,40.0156,Sheetz,1790 Millersville Road, Lancaster,PA,17603
-76.2094,40.0403,Sheetz,2425 Old Philadelphia Pike, Lancaster,PA,17602
-76.3914,40.0417,Sheetz,3101 Columbia Ave, Lancaster,PA,17603
-79.3711,40.3003,Sheetz,2853 Ligonier St, Latrobe,PA,15650
-76.4233,40.3047,Sheetz,195 Rocherty Rd, Lebanon,PA,17042
-75.9547,40.4444,Sheetz,5515 Pottsville Pike, Leesport,PA,19533
-76.8778,40.9889,Sheetz,260 International Dr, Lewisburg,PA,17837
-77.5803,40.5956,Sheetz,113 Juniata Street, Lewistown,PA,17044
-79.1969,40.2614,Sheetz,3832 State Route 711, Ligonier,PA,15658
-77.1797,41.2156,Sheetz,7775 North Route 220 Hwy, Linden,PA,17744
